run_accession	study_accession	experiment_alias	fastq_ftp
SRR20011250	PRJNA856341	W0_SP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/050/SRR20011250/SRR20011250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/050/SRR20011250/SRR20011250_2.fastq.gz
SRR20011251	PRJNA856341	W0_SV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/051/SRR20011251/SRR20011251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/051/SRR20011251/SRR20011251_2.fastq.gz
SRR20011253	PRJNA856341	W0_SV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/053/SRR20011253/SRR20011253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/053/SRR20011253/SRR20011253_2.fastq.gz
SRR20011255	PRJNA856341	W0_SV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/055/SRR20011255/SRR20011255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/055/SRR20011255/SRR20011255_2.fastq.gz
SRR20011260	PRJNA856341	W24_NTC6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/060/SRR20011260/SRR20011260.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/060/SRR20011260/SRR20011260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/060/SRR20011260/SRR20011260_2.fastq.gz
SRR20011353	PRJNA856341	W8_PV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/053/SRR20011353/SRR20011353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/053/SRR20011353/SRR20011353_2.fastq.gz
SRR20011261	PRJNA856341	W0_PP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/061/SRR20011261/SRR20011261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/061/SRR20011261/SRR20011261_2.fastq.gz
SRR20011355	PRJNA856341	W0_PV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/055/SRR20011355/SRR20011355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/055/SRR20011355/SRR20011355_2.fastq.gz
SRR20011262	PRJNA856341	W24_NTC5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/062/SRR20011262/SRR20011262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/062/SRR20011262/SRR20011262_2.fastq.gz
SRR20011264	PRJNA856341	W24_NTC3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/064/SRR20011264/SRR20011264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/064/SRR20011264/SRR20011264_2.fastq.gz
SRR20011358	PRJNA856341	W8_PV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/058/SRR20011358/SRR20011358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/058/SRR20011358/SRR20011358_2.fastq.gz
SRR20011265	PRJNA856341	W24_NTC2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/065/SRR20011265/SRR20011265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/065/SRR20011265/SRR20011265_2.fastq.gz
SRR20011267	PRJNA856341	W12_SP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/067/SRR20011267/SRR20011267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/067/SRR20011267/SRR20011267_2.fastq.gz
